table,key,column,notebook,audit,match
by_domain,canine soft tissue sarcoma/hem_bbox/K30,tp_sum,40,40,True
by_domain,human breast cancer/default_51/K10,precision_pooled,0.55,0.55,True
by_domain,human breast cancer/default_51/K10,tp_sum,11,11,True
by_domain,human breast cancer/default_51/K20,precision_pooled,0.575,0.575,True
by_domain,human breast cancer/default_51/K20,tp_sum,23,23,True
by_domain,human breast cancer/default_51/K30,precision_pooled,0.5,0.5,True
by_domain,human breast cancer/default_51/K30,tp_sum,30,30,True
by_domain,human breast cancer/gray_bbox/K10,precision_pooled,0.55,0.55,True
by_domain,human breast cancer/gray_bbox/K10,tp_sum,11,11,True
by_domain,human breast cancer/gray_bbox/K20,precision_pooled,0.575,0.575,True
by_domain,human breast cancer/gray_bbox/K20,tp_sum,23,23,True
by_domain,human breast cancer/gray_bbox/K30,precision_pooled,0.5167,0.5167,True
by_domain,human breast cancer/gray_bbox/K30,tp_sum,31,31,True
by_domain,human breast cancer/hem_bbox/K10,precision_pooled,0.55,0.55,True
by_domain,human breast cancer/hem_bbox/K10,tp_sum,11,11,True
by_domain,human breast cancer/hem_bbox/K20,precision_pooled,0.575,0.575,True
by_domain,human breast cancer/hem_bbox/K20,tp_sum,23,23,True
by_domain,human breast cancer/hem_bbox/K30,precision_pooled,0.5,0.5,True
by_domain,human breast cancer/hem_bbox/K30,tp_sum,30,30,True
by_domain,human melanoma/default_51/K10,precision_pooled,0.8,0.8,True
by_domain,human melanoma/default_51/K10,tp_sum,16,16,True
by_domain,human melanoma/default_51/K20,precision_pooled,0.575,0.575,True
by_domain,human melanoma/default_51/K20,tp_sum,23,23,True
by_domain,human melanoma/default_51/K30,precision_pooled,0.5167,0.5167,True
by_domain,human melanoma/default_51/K30,tp_sum,31,31,True
by_domain,human melanoma/gray_bbox/K10,precision_pooled,0.7,0.7,True
by_domain,human melanoma/gray_bbox/K10,tp_sum,14,14,True
by_domain,human melanoma/gray_bbox/K20,precision_pooled,0.5,0.5,True
by_domain,human melanoma/gray_bbox/K20,tp_sum,20,20,True
by_domain,human melanoma/gray_bbox/K30,precision_pooled,0.4667,0.4667,True
by_domain,human melanoma/gray_bbox/K30,tp_sum,28,28,True
by_domain,human melanoma/hem_bbox/K10,precision_pooled,0.7,0.7,True
by_domain,human melanoma/hem_bbox/K10,tp_sum,14,14,True
by_domain,human melanoma/hem_bbox/K20,precision_pooled,0.525,0.525,True
by_domain,human melanoma/hem_bbox/K20,tp_sum,21,21,True
by_domain,human melanoma/hem_bbox/K30,precision_pooled,0.4833,0.4833,True
by_domain,human melanoma/hem_bbox/K30,tp_sum,29,29,True
by_domain,human neuroendocrine tumor/default_51/K10,precision_pooled,0.65,0.65,True
by_domain,human neuroendocrine tumor/default_51/K10,tp_sum,13,13,True
by_domain,human neuroendocrine tumor/default_51/K20,precision_pooled,0.6,0.6,True
by_domain,human neuroendocrine tumor/default_51/K20,tp_sum,24,24,True
by_domain,human neuroendocrine tumor/default_51/K30,precision_pooled,0.55,0.55,True
by_domain,human neuroendocrine tumor/default_51/K30,tp_sum,33,33,True
by_domain,human neuroendocrine tumor/gray_bbox/K10,precision_pooled,0.6,0.6,True
by_domain,human neuroendocrine tumor/gray_bbox/K10,tp_sum,12,12,True
by_domain,human neuroendocrine tumor/gray_bbox/K20,precision_pooled,0.55,0.55,True
by_domain,human neuroendocrine tumor/gray_bbox/K20,tp_sum,22,22,True
by_domain,human neuroendocrine tumor/gray_bbox/K30,precision_pooled,0.4833,0.4833,True
by_domain,human neuroendocrine tumor/gray_bbox/K30,tp_sum,29,29,True
by_domain,human neuroendocrine tumor/hem_bbox/K10,precision_pooled,0.55,0.55,True
by_domain,human neuroendocrine tumor/hem_bbox/K10,tp_sum,11,11,True
by_domain,human neuroendocrine tumor/hem_bbox/K20,precision_pooled,0.45,0.45,True
by_domain,human neuroendocrine tumor/hem_bbox/K20,tp_sum,18,18,True
by_domain,human neuroendocrine tumor/hem_bbox/K30,precision_pooled,0.4167,0.4167,True
by_domain,human neuroendocrine tumor/hem_bbox/K30,tp_sum,25,25,True
delta_per_roi,300.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,301.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,201.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,233.tiff/gray_bbox - default_51/K10,delta_tp,1,1,True
delta_per_roi,245.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,246.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,459.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,460.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,013.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,094.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,529.tiff/gray_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,548.tiff/gray_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,402.tiff/gray_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,403.tiff/gray_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,300.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,301.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,201.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,233.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,245.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,246.tiff/gray_bbox - default_51/K20,delta_tp,-3,-3,True
delta_per_roi,459.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,460.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,013.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,094.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,529.tiff/gray_bbox - default_51/K20,delta_tp,-1,-1,True
delta_per_roi,548.tiff/gray_bbox - default_51/K20,delta_tp,-2,-2,True
delta_per_roi,402.tiff/gray_bbox - default_51/K20,delta_tp,-2,-2,True
delta_per_roi,403.tiff/gray_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,300.tiff/gray_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,301.tiff/gray_bbox - default_51/K30,delta_tp,1,1,True
delta_per_roi,201.tiff/gray_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,233.tiff/gray_bbox - default_51/K30,delta_tp,1,1,True
delta_per_roi,245.tiff/gray_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,246.tiff/gray_bbox - default_51/K30,delta_tp,-2,-2,True
delta_per_roi,459.tiff/gray_bbox - default_51/K30,delta_tp,-1,-1,True
delta_per_roi,460.tiff/gray_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,013.tiff/gray_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,094.tiff/gray_bbox - default_51/K30,delta_tp,1,1,True
delta_per_roi,529.tiff/gray_bbox - default_51/K30,delta_tp,-2,-2,True
delta_per_roi,548.tiff/gray_bbox - default_51/K30,delta_tp,-1,-1,True
delta_per_roi,402.tiff/gray_bbox - default_51/K30,delta_tp,-4,-4,True
delta_per_roi,403.tiff/gray_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,300.tiff/hem_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,301.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,201.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,233.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,245.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,246.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,459.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,460.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,013.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,094.tiff/hem_bbox - default_51/K10,delta_tp,0,0,True
delta_per_roi,529.tiff/hem_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,548.tiff/hem_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,402.tiff/hem_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,403.tiff/hem_bbox - default_51/K10,delta_tp,-1,-1,True
delta_per_roi,300.tiff/hem_bbox - default_51/K20,delta_tp,-2,-2,True
delta_per_roi,301.tiff/hem_bbox - default_51/K20,delta_tp,-1,-1,True
delta_per_roi,201.tiff/hem_bbox - default_51/K20,delta_tp,-2,-2,True
delta_per_roi,233.tiff/hem_bbox - default_51/K20,delta_tp,-1,-1,True
delta_per_roi,245.tiff/hem_bbox - default_51/K20,delta_tp,-2,-2,True
delta_per_roi,246.tiff/hem_bbox - default_51/K20,delta_tp,-1,-1,True
delta_per_roi,459.tiff/hem_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,460.tiff/hem_bbox - default_51/K20,delta_tp,-2,-2,True
delta_per_roi,013.tiff/hem_bbox - default_51/K20,delta_tp,1,1,True
delta_per_roi,094.tiff/hem_bbox - default_51/K20,delta_tp,-1,-1,True
delta_per_roi,529.tiff/hem_bbox - default_51/K20,delta_tp,0,0,True
delta_per_roi,548.tiff/hem_bbox - default_51/K20,delta_tp,-2,-2,True
delta_per_roi,402.tiff/hem_bbox - default_51/K20,delta_tp,-3,-3,True
delta_per_roi,403.tiff/hem_bbox - default_51/K20,delta_tp,-3,-3,True
delta_per_roi,300.tiff/hem_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,301.tiff/hem_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,201.tiff/hem_bbox - default_51/K30,delta_tp,-2,-2,True
delta_per_roi,233.tiff/hem_bbox - default_51/K30,delta_tp,0,0,True
delta_per_roi,245.tiff/hem_bbox - default_51/K30,delta_tp,-2,-2,True
delta_per_roi,246.tiff/hem_bbox - default_51/K30,delta_tp,-1,-1,True
delta_per_roi,459.tiff/hem_bbox - default_51/K30,delta_tp,-1,-1,True
delta_per_roi,460.tiff/hem_bbox - default_51/K30,delta_tp,-2,-2,True
delta_per_roi,013.tiff/hem_bbox - default_51/K30,delta_tp,1,1,True
delta_per_roi,094.tiff/hem_bbox - default_51/K30,delta_tp,-1,-1,True
delta_per_roi,529.tiff/hem_bbox - default_51/K30,delta_tp,-1,-1,True
delta_per_roi,548.tiff/hem_bbox - default_51/K30,delta_tp,-1,-1,True
delta_per_roi,402.tiff/hem_bbox - default_51/K30,delta_tp,-4,-4,True
delta_per_roi,403.tiff/hem_bbox - default_51/K30,delta_tp,-4,-4,True
delta_per_roi,300.tiff/hem_bbox - gray_bbox/K10,delta_tp,-1,-1,True
delta_per_roi,301.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,201.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,233.tiff/hem_bbox - gray_bbox/K10,delta_tp,-1,-1,True
delta_per_roi,245.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,246.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,459.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,460.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,013.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,094.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,529.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,548.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,402.tiff/hem_bbox - gray_bbox/K10,delta_tp,0,0,True
delta_per_roi,403.tiff/hem_bbox - gray_bbox/K10,delta_tp,-1,-1,True
delta_per_roi,300.tiff/hem_bbox - gray_bbox/K20,delta_tp,-2,-2,True
delta_per_roi,301.tiff/hem_bbox - gray_bbox/K20,delta_tp,-1,-1,True
delta_per_roi,201.tiff/hem_bbox - gray_bbox/K20,delta_tp,-2,-2,True
delta_per_roi,233.tiff/hem_bbox - gray_bbox/K20,delta_tp,-1,-1,True
delta_per_roi,245.tiff/hem_bbox - gray_bbox/K20,delta_tp,-2,-2,True
delta_per_roi,246.tiff/hem_bbox - gray_bbox/K20,delta_tp,2,2,True
delta_per_roi,459.tiff/hem_bbox - gray_bbox/K20,delta_tp,0,0,True
delta_per_roi,460.tiff/hem_bbox - gray_bbox/K20,delta_tp,-2,-2,True
delta_per_roi,013.tiff/hem_bbox - gray_bbox/K20,delta_tp,1,1,True
delta_per_roi,094.tiff/hem_bbox - gray_bbox/K20,delta_tp,-1,-1,True
delta_per_roi,529.tiff/hem_bbox - gray_bbox/K20,delta_tp,1,1,True
delta_per_roi,548.tiff/hem_bbox - gray_bbox/K20,delta_tp,0,0,True
delta_per_roi,402.tiff/hem_bbox - gray_bbox/K20,delta_tp,-1,-1,True
delta_per_roi,403.tiff/hem_bbox - gray_bbox/K20,delta_tp,-3,-3,True
delta_per_roi,300.tiff/hem_bbox - gray_bbox/K30,delta_tp,0,0,True
delta_per_roi,301.tiff/hem_bbox - gray_bbox/K30,delta_tp,-1,-1,True
delta_per_roi,201.tiff/hem_bbox - gray_bbox/K30,delta_tp,-2,-2,True
delta_per_roi,233.tiff/hem_bbox - gray_bbox/K30,delta_tp,-1,-1,True
delta_per_roi,245.tiff/hem_bbox - gray_bbox/K30,delta_tp,-2,-2,True
delta_per_roi,246.tiff/hem_bbox - gray_bbox/K30,delta_tp,1,1,True
delta_per_roi,459.tiff/hem_bbox - gray_bbox/K30,delta_tp,0,0,True
delta_per_roi,460.tiff/hem_bbox - gray_bbox/K30,delta_tp,-2,-2,True
delta_per_roi,013.tiff/hem_bbox - gray_bbox/K30,delta_tp,1,1,True
delta_per_roi,094.tiff/hem_bbox - gray_bbox/K30,delta_tp,-2,-2,True
delta_per_roi,529.tiff/hem_bbox - gray_bbox/K30,delta_tp,1,1,True
delta_per_roi,548.tiff/hem_bbox - gray_bbox/K30,delta_tp,0,0,True
delta_per_roi,402.tiff/hem_bbox - gray_bbox/K30,delta_tp,0,0,True
delta_per_roi,403.tiff/hem_bbox - gray_bbox/K30,delta_tp,-4,-4,True
delta_stats,gray_bbox - default_51/K10,mean_delta_precision,-0.0143,-0.0143,True
delta_stats,gray_bbox - default_51/K10,wins,1,1,True
delta_stats,gray_bbox - default_51/K10,losses,3,3,True
delta_stats,gray_bbox - default_51/K10,ties,10,10,True
delta_stats,gray_bbox - default_51/K10,n_nonzero,4,4,True
delta_stats,gray_bbox - default_51/K10,exact_p (6 dp),0.625,0.625,True
delta_stats,gray_bbox - default_51/K10,min_attainable_p (6 dp),0.125,0.125,True
delta_stats,gray_bbox - default_51/K10,holm_p (6 dp),0.75,0.75,True
delta_stats,gray_bbox - default_51/K20,mean_delta_precision,-0.0286,-0.0286,True
delta_stats,gray_bbox - default_51/K20,wins,0,0,True
delta_stats,gray_bbox - default_51/K20,losses,4,4,True
delta_stats,gray_bbox - default_51/K20,ties,10,10,True
delta_stats,gray_bbox - default_51/K20,n_nonzero,4,4,True
delta_stats,gray_bbox - default_51/K20,exact_p (6 dp),0.125,0.125,True
delta_stats,gray_bbox - default_51/K20,min_attainable_p (6 dp),0.125,0.125,True
delta_stats,gray_bbox - default_51/K20,holm_p (6 dp),0.539062,0.539062,True
delta_stats,gray_bbox - default_51/K30,mean_delta_precision,-0.0167,-0.0167,True
delta_stats,gray_bbox - default_51/K30,wins,3,3,True
delta_stats,gray_bbox - default_51/K30,losses,5,5,True
delta_stats,gray_bbox - default_51/K30,ties,6,6,True
delta_stats,gray_bbox - default_51/K30,n_nonzero,8,8,True
delta_stats,gray_bbox - default_51/K30,exact_p (6 dp),0.296875,0.296875,True
delta_stats,gray_bbox - default_51/K30,min_attainable_p (6 dp),0.007812,0.007812,True
delta_stats,gray_bbox - default_51/K30,holm_p (6 dp),0.75,0.75,True
delta_stats,hem_bbox - default_51/K10,mean_delta_precision,-0.0357,-0.0357,True
delta_stats,hem_bbox - default_51/K10,wins,0,0,True
delta_stats,hem_bbox - default_51/K10,losses,5,5,True
delta_stats,hem_bbox - default_51/K10,ties,9,9,True
delta_stats,hem_bbox - default_51/K10,n_nonzero,5,5,True
delta_stats,hem_bbox - default_51/K10,exact_p (6 dp),0.0625,0.0625,True
delta_stats,hem_bbox - default_51/K10,min_attainable_p (6 dp),0.0625,0.0625,True
delta_stats,hem_bbox - default_51/K10,holm_p (6 dp),0.4375,0.4375,True
delta_stats,hem_bbox - default_51/K20,mean_delta_precision,-0.0679,-0.0679,True
delta_stats,hem_bbox - default_51/K20,wins,1,1,True
delta_stats,hem_bbox - default_51/K20,losses,11,11,True
delta_stats,hem_bbox - default_51/K20,ties,2,2,True
delta_stats,hem_bbox - default_51/K20,n_nonzero,12,12,True
delta_stats,hem_bbox - default_51/K20,exact_p (6 dp),0.00293,0.00293,True
delta_stats,hem_bbox - default_51/K20,min_attainable_p (6 dp),0.000488,0.000488,True
delta_stats,hem_bbox - default_51/K20,holm_p (6 dp),0.026367,0.026367,True
delta_stats,hem_bbox - default_51/K30,mean_delta_precision,-0.0429,-0.0429,True
delta_stats,hem_bbox - default_51/K30,wins,1,1,True
delta_stats,hem_bbox - default_51/K30,losses,10,10,True
delta_stats,hem_bbox - default_51/K30,ties,3,3,True
delta_stats,hem_bbox - default_51/K30,n_nonzero,11,11,True
delta_stats,hem_bbox - default_51/K30,exact_p (6 dp),0.006836,0.006836,True
delta_stats,hem_bbox - default_51/K30,min_attainable_p (6 dp),0.000977,0.000977,True
delta_stats,hem_bbox - default_51/K30,holm_p (6 dp),0.054688,0.054688,True
delta_stats,hem_bbox - gray_bbox/K10,mean_delta_precision,-0.0214,-0.0214,True
delta_stats,hem_bbox - gray_bbox/K10,wins,0,0,True
delta_stats,hem_bbox - gray_bbox/K10,losses,3,3,True
delta_stats,hem_bbox - gray_bbox/K10,ties,11,11,True
delta_stats,hem_bbox - gray_bbox/K10,n_nonzero,3,3,True
delta_stats,hem_bbox - gray_bbox/K10,exact_p (6 dp),0.25,0.25,True
delta_stats,hem_bbox - gray_bbox/K10,min_attainable_p (6 dp),0.25,0.25,True
delta_stats,hem_bbox - gray_bbox/K10,holm_p (6 dp),0.75,0.75,True
delta_stats,hem_bbox - gray_bbox/K20,mean_delta_precision,-0.0393,-0.0393,True
delta_stats,hem_bbox - gray_bbox/K20,wins,3,3,True
delta_stats,hem_bbox - gray_bbox/K20,losses,9,9,True
delta_stats,hem_bbox - gray_bbox/K20,ties,2,2,True
delta_stats,hem_bbox - gray_bbox/K20,n_nonzero,12,12,True
delta_stats,hem_bbox - gray_bbox/K20,exact_p (6 dp),0.089844,0.089844,True
delta_stats,hem_bbox - gray_bbox/K20,min_attainable_p (6 dp),0.000488,0.000488,True
delta_stats,hem_bbox - gray_bbox/K20,holm_p (6 dp),0.539062,0.539062,True
delta_stats,hem_bbox - gray_bbox/K30,mean_delta_precision,-0.0262,-0.0262,True
delta_stats,hem_bbox - gray_bbox/K30,wins,3,3,True
delta_stats,hem_bbox - gray_bbox/K30,losses,7,7,True
delta_stats,hem_bbox - gray_bbox/K30,ties,4,4,True
delta_stats,hem_bbox - gray_bbox/K30,n_nonzero,10,10,True
delta_stats,hem_bbox - gray_bbox/K30,exact_p (6 dp),0.097656,0.097656,True
delta_stats,hem_bbox - gray_bbox/K30,min_attainable_p (6 dp),0.001953,0.001953,True
delta_stats,hem_bbox - gray_bbox/K30,holm_p (6 dp),0.539062,0.539062,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K10,mean_delta_precision,-0.0143,-0.0143,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K10,wins,1,1,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K10,losses,3,3,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K10,exact_p (6 dp),0.625,0.625,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K10,holm_p (6 dp),0.75,0.75,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K20,mean_delta_precision,-0.0286,-0.0286,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K20,wins,0,0,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K20,losses,4,4,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K20,exact_p (6 dp),0.125,0.125,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K20,holm_p (6 dp),0.539062,0.539062,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K30,mean_delta_precision,-0.0167,-0.0167,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K30,wins,3,3,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K30,losses,5,5,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K30,exact_p (6 dp),0.296875,0.296875,True
contested_sensitivity,all_mitoses/gray_bbox - default_51/K30,holm_p (6 dp),0.75,0.75,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K10,mean_delta_precision,-0.0357,-0.0357,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K10,wins,0,0,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K10,losses,5,5,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K10,exact_p (6 dp),0.0625,0.0625,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K10,holm_p (6 dp),0.4375,0.4375,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K20,mean_delta_precision,-0.0679,-0.0679,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K20,wins,1,1,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K20,losses,11,11,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K20,exact_p (6 dp),0.00293,0.00293,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K20,holm_p (6 dp),0.026367,0.026367,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K30,mean_delta_precision,-0.0429,-0.0429,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K30,wins,1,1,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K30,losses,10,10,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K30,exact_p (6 dp),0.006836,0.006836,True
contested_sensitivity,all_mitoses/hem_bbox - default_51/K30,holm_p (6 dp),0.054688,0.054688,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K10,mean_delta_precision,-0.0214,-0.0214,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K10,wins,0,0,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K10,losses,3,3,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K10,exact_p (6 dp),0.25,0.25,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K10,holm_p (6 dp),0.75,0.75,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K20,mean_delta_precision,-0.0393,-0.0393,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K20,wins,3,3,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K20,losses,9,9,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K20,exact_p (6 dp),0.089844,0.089844,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K20,holm_p (6 dp),0.539062,0.539062,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K30,mean_delta_precision,-0.0262,-0.0262,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K30,wins,3,3,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K30,losses,7,7,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K30,exact_p (6 dp),0.097656,0.097656,True
contested_sensitivity,all_mitoses/hem_bbox - gray_bbox/K30,holm_p (6 dp),0.539062,0.539062,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K10,mean_delta_precision,-0.0142,-0.0142,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K10,wins,2,2,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K10,losses,3,3,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K10,exact_p (6 dp),0.5,0.5,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K10,holm_p (6 dp),0.9375,0.9375,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K20,mean_delta_precision,-0.0314,-0.0314,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K20,wins,1,1,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K20,losses,5,5,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K20,exact_p (6 dp),0.0625,0.0625,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K20,holm_p (6 dp),0.4375,0.4375,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K30,mean_delta_precision,-0.0185,-0.0185,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K30,wins,3,3,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K30,losses,6,6,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K30,exact_p (6 dp),0.238281,0.238281,True
contested_sensitivity,contested_excluded/gray_bbox - default_51/K30,holm_p (6 dp),0.714844,0.714844,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K10,mean_delta_precision,-0.0269,-0.0269,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K10,wins,1,1,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K10,losses,5,5,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K10,exact_p (6 dp),0.15625,0.15625,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K10,holm_p (6 dp),0.625,0.625,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K20,mean_delta_precision,-0.0666,-0.0666,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K20,wins,1,1,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K20,losses,11,11,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K20,exact_p (6 dp),0.003418,0.003418,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K20,holm_p (6 dp),0.028564,0.028564,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K30,mean_delta_precision,-0.0435,-0.0435,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K30,wins,2,2,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K30,losses,12,12,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K30,exact_p (6 dp),0.003174,0.003174,True
contested_sensitivity,contested_excluded/hem_bbox - default_51/K30,holm_p (6 dp),0.028564,0.028564,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K10,mean_delta_precision,-0.0127,-0.0127,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K10,wins,2,2,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K10,losses,5,5,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K10,exact_p (6 dp),0.46875,0.46875,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K10,holm_p (6 dp),0.9375,0.9375,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K20,mean_delta_precision,-0.0352,-0.0352,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K20,wins,3,3,True
contested_sensitivity,contested_excluded/hem_bbox - gray_bbox/K20,losses,9,9,True
